Treatment,nct_id,ID,COVID-19 status,Patient setting,Outcome,Size
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04527575,NCT04527575,Healthy,Healthy Unexposed,"Serious Adverse Events, Antibodies",100
"Other, Standard of care",NCT04724720,NCT04724720,Confirmed,Outpatient,"Mortality, Hospitalization, Clinical Improvement Score (Any), Serious Adverse Events, SpO2",84
"HCQ, HCQ + AZT, Standard of care",NCT04349592,NCT04349592,Confirmed,Hospital,Viral Load or Clearance,456
"Non-invasive respiratory support, Standard of care",NCT04500626,NCT04500626,Confirmed,Hospital,"Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Other Mild Symptoms, Adverse Events",234
"Plasma based therapy, Standard of care",NCT04358783,NCT04358783,NA,Hospital,"Mortality, Viral Load or Clearance, Anti SARS-COV-2 Titers",30
"Anesthetic, Standard of care",NCT04355962,NCT04355962,NA,ICU,"Mortality, ICU Admission, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), C-Reactive Protein, IL-6, MCP-1, Procalcitonin, Renal Outcome (Unspecified), Cardiac Outcome (Unspecified)",64
"Anesthetic, Standard of care",NCT04355962,NCT04355962,NA,ICU,"Mortality, ICU Admission, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), C-Reactive Protein, IL-6, MCP-1, Procalcitonin, Renal Outcome (Unspecified), Cardiac Outcome (Unspecified)",64
"Anesthetic, Standard of care",NCT04355962,NCT04355962,NA,ICU,"Mortality, ICU Admission, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), C-Reactive Protein, IL-6, MCP-1, Procalcitonin, Renal Outcome (Unspecified), Cardiac Outcome (Unspecified)",64
"Other, Standard of care",NCT04384445,NCT04384445,Confirmed,Hospital,"Mortality, Organ Failure or Dysfunction (SOFA), Adverse Events, C-Reactive Protein, D-Dimer, Radiographic Findings",20
"Other, Standard of care",NCT04452435,NCT04452435,Confirmed,Hospital,"Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, C-Reactive Protein, Ferritin, IL-6, IL-10, Tumor Necrosis Factor (Any)",106
"Other, Standard of care",NCT04452435,NCT04452435,Confirmed,Hospital,"Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, C-Reactive Protein, Ferritin, IL-6, IL-10, Tumor Necrosis Factor (Any)",106
"Other, Standard of care",NCT04452435,NCT04452435,Confirmed,Hospital,"Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, C-Reactive Protein, Ferritin, IL-6, IL-10, Tumor Necrosis Factor (Any)",106
"Anticoagulants, Anticoagulants + TCZ",NCT04600141,NCT04600141,Confirmed,Hospital,"Mortality, ICU Admission, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Renal Outcome (Unspecified)",308
"Anticoagulants, Anticoagulants + TCZ",NCT04600141,NCT04600141,Confirmed,Hospital,"Mortality, ICU Admission, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Renal Outcome (Unspecified)",308
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
"mAb, Standard of care",NCT04425629,NCT04425629,Confirmed,Outpatient,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Weight, Height or BMI, Antibodies",6420
